Date,Description,Amount
2026-10-18,Amazon Purchase,-18.99
2026-10-20,Water Bill,-26.0
2026-10-20,Sainsburys,-53.0
2026-10-20,Shell Fuel,-29.92
2026-10-23,Primark,-14.17
2026-10-24,Shell Fuel,-18.5
2026-10-25,Vodafone Phone Bill,-18.0
2026-10-27,McDonalds,-14.49
2026-11-01,Salary Payment,950.0
2026-11-02,Currys,-24.57
2026-11-02,McDonalds,-8.69
2026-11-05,Netflix Subscription,-10.99
2026-11-05,Trainline Ticket,-32.21
2026-11-07,Amazon Large Purchase,-165.0
2026-11-07,Subway,-7.9
2026-11-08,Lidl,-23.78
2026-11-08,Spotify Premium,-5.99
2026-11-10,Lidl,-49.14
2026-11-11,Lidl,-43.97
2026-11-14,Uber Trip,-31.01
2026-11-14,Lidl,-16.16
2026-11-16,Tesco Superstore,-52.71
2026-11-16,Amazon Purchase,-58.69
2026-11-19,Trainline Ticket,-7.52
2026-11-20,Water Bill,-26.0
2026-11-24,Asda Groceries,-46.99
2026-11-25,Subway,-7.17
2026-11-25,Vodafone Phone Bill,-18.0
2026-11-25,Steam Purchase,-28.36
2026-11-27,Lidl,-36.53
2026-11-27,Subway,-6.78
2026-12-01,Salary Payment,950.0
2026-12-03,Starbucks,-13.36
2026-12-04,Asda Groceries,-52.91
2026-12-05,Netflix Subscription,-10.99
2026-12-06,Asda Groceries,-39.29
2026-12-08,Aldi Store,-33.94
2026-12-08,Spotify Premium,-5.99
2026-12-10,Trainline Ticket,-22.36
2026-12-10,Shell Fuel,-16.9
2026-12-14,Currys,-14.48
2026-12-14,Argos,-16.86
2026-12-14,Cineworld,-27.81
2026-12-15,Sainsburys,-45.68
2026-12-20,Costa Coffee,-14.94
2026-12-20,Water Bill,-26.0
2026-12-21,Epic Games,-27.1
2026-12-21,Greggs,-4.53
2026-12-21,Currys,-10.82
2026-12-24,Tesco Superstore,-46.11
2026-12-25,Vodafone Phone Bill,-18.0
2026-12-25,McDonalds,-15.75
2026-12-26,Amazon Purchase,-32.57
